HARRY_KANE_X,HARRY_KANE_Y,RAHEEM_STERLING_X,RAHEEM_STERLING_Y,DELE_ALLI_X,DELE_ALLI_Y,JORDAN_PICKFORD_X,JORDAN_PICKFORD_Y,MARIO_MANDZUKIC_X,MARIO_MANDZUKIC_Y,IVAN_PERISIC_X,IVAN_PERISIC_Y,IVAN_RAKITIC_X,IVAN_RAKITIC_Y,DANIJEL_SUBASIC_X,DANIJEL_SUBASIC_Y,JESSE_LINGARD_X,JESSE_LINGARD_Y,KIERAN_TRIPPIER_X,KIERAN_TRIPPIER_Y,JOHN_STONES_X,JOHN_STONES_Y,HARRY_MAGUIRE_X,HARRY_MAGUIRE_Y,KYLE_WALKER_X,KYLE_WALKER_Y,JORDAN_HENDERSON_X,JORDAN_HENDERSON_Y,ASHLEY_YOUNG_X,ASHLEY_YOUNG_Y
-21.48846973,10.05693949,-21.48846973,-13.24297321,-27.23541153,-3.117510234,30.75174488,5.602476287,2.546415645,-7.541222268,28.68567746,-20.84929966,27.23541153,3.117510234,-30.75174488,-2.602476287,NA,11.11751023,-11.48846973,-15.05693949,20.80922422,13.62188615,12.97106906,30.89750892,20.80922422,-7.585409235,NA,6.882489766,NA,15.05693949
-27.39171608,16.10395968,-27.39171608,1.555783582,-24.94034064,-10.09357715,29.09929363,8.499025808,24.78085448,-8.506689211,25.34893889,-26.69267463,24.94034064,10.09357715,-29.09929363,-5.499025808,NA,18.09357715,-17.39171608,-21.10395968,16.08662714,0.01609072,7.303952563,20.01287258,16.08662714,-16.65593952,NA,-0.09357715,NA,21.10395968
-25.24678756,15.64795738,-25.24678756,-12.5735683,8.117483978,-10.91511016,41.18052018,-0.690131075,2.855734083,-9.256740947,19.55345403,-20.93916459,-8.117483978,10.91511016,-41.18052018,3.690131075,-6.252315912,18.91511016,-15.24678756,-20.64795738,17.80256995,1.042095895,9.363083942,20.83367672,17.80256995,-15.97193607,-8.300252367,-0.91511016,NA,20.64795738
-9.089954894,26.05340528,-9.089954894,-13.97455739,-19.19625703,2.316923612,42.77292332,10.97337046,24.87903147,0.089941217,6.771548134,-19.56130652,19.19625703,-2.316923612,-42.77292332,-7.973370456,NA,5.683076388,0.910045106,-31.05340528,30.72803608,-22.37016188,24.8736433,2.103870496,30.72803608,-31.58010792,NA,12.31692361,-3.756372078,31.05340528
-11.74265357,19.6949761,-11.74265357,-18.99148717,3.366031157,-8.142043022,29.86154741,8.804906251,19.1804056,-7.397017553,24.05542441,-12.41128848,-3.366031157,8.142043022,-29.86154741,-5.804906251,-14.57493541,16.14204302,-1.74265357,-24.6949761,28.60587714,-8.063696225,22.32705257,13.54904302,28.60587714,-22.04246415,-21.79724666,1.857956978,NA,24.6949761
-39.85253222,16.49808259,-39.85253222,-16.34021694,-25.37544275,-0.701530883,29.54937478,-0.663041107,27.45800125,0.361289193,27.0224298,-22.25780891,25.37544275,0.701530883,-29.54937478,3.663041107,NA,8.701530883,-29.85253222,-21.49808259,6.117974224,-0.870685828,-4.658430931,19.30345134,6.117974224,-17.24712389,NA,9.298469117,NA,21.49808259
-16.09405621,11.01055953,-16.09405621,-13.68264052,-12.18192458,7.009039103,38.14331023,8.946219175,6.682015765,6.048137475,29.28711704,-33.76636426,12.18192458,-7.009039103,-38.14331023,-5.946219175,NA,0.990960897,-6.09405621,-16.01055953,25.12475503,11.47624106,18.14970604,29.18099285,25.12475503,-9.015839295,NA,17.0090391,NA,16.01055953
1.637171526,19.79577445,1.637171526,-29.55763611,-12.47223,-1.074289238,31.92358953,1.515297882,27.89619179,-2.766820941,24.34418121,-24.66728184,12.47223,1.074289238,-31.92358953,1.484702118,NA,9.074289238,11.63717153,-24.79577445,39.30973722,-8.290492513,35.17168466,13.36760599,39.30973722,-22.19366168,NA,8.925710762,-20.5411592,24.79577445
2.125007777,18.59314094,2.125007777,-17.57727273,-22.32363986,-7.17211114,41.93179387,1.835496924,10.03279808,-10.22674909,25.18643299,-22.63240825,22.32363986,7.17211114,-41.93179387,1.164503076,NA,15.17211114,12.12500778,-23.59314094,39.70000622,-5.584567115,35.64000747,15.53234631,39.70000622,-20.38971141,NA,2.82788886,-21.11128532,23.59314094
-29.99554413,8.505706392,-29.99554413,-17.76068275,-4.869469154,-0.398033813,44.47694785,6.314644844,36.1758275,1.383576583,36.04821746,-27.20310139,4.869469154,0.398033813,-44.47694785,-3.314644844,NA,8.398033813,-19.99554413,-13.50570639,14.0035647,17.11216062,4.804277635,33.68972849,14.0035647,-5.258559588,NA,9.601966187,NA,13.50570639
-22.92056165,11.73930578,-22.92056165,-19.0570322,-16.29495065,-12.49391024,39.03798255,5.160892306,25.41129697,-4.575449144,6.922272312,-21.04611366,16.29495065,12.49391024,-39.03798255,-2.160892306,NA,20.49391024,-12.92056165,-16.73930578,19.66355068,9.836561995,11.59626082,27.8692496,19.66355068,-10.10895867,NA,-2.49391024,NA,16.73930578
-32.00472896,18.30519777,-32.00472896,-17.62541927,-22.1531892,-17.65002558,37.43641418,-0.847372546,15.91647486,-2.861501136,28.01932971,-24.08095179,22.1531892,17.65002558,-37.43641418,3.847372546,NA,25.65002558,-22.00472896,-23.30519777,12.39621683,-4.936694982,2.875460198,16.05064401,12.39621683,-19.95779666,NA,-7.65002558,NA,23.30519777
-11.2069328,19.85488074,-11.2069328,-19.75464076,8.70448373,-4.555927655,34.57014882,6.66892732,17.52811916,-9.657850024,27.07661201,-19.67331582,-8.70448373,4.555927655,-34.57014882,-3.66892732,-5.359071624,12.55592766,-1.2069328,-24.85488074,29.03445376,-8.423481665,22.84134451,13.26121467,29.03445376,-22.28232111,-6.766519549,5.444072345,NA,24.85488074
-8.981458987,21.1612929,-8.981458987,-19.30453168,-16.74551375,7.591223596,42.88902455,3.933224984,27.45860565,-2.242922679,27.43207015,-27.28782569,16.74551375,-7.591223596,-42.88902455,-0.933224984,NA,0.408776404,1.018541013,-26.1612929,30.81483281,-11.36290903,24.97779937,10.90967278,30.81483281,-24.24193935,NA,17.5912236,-4.049291161,26.1612929
-22.6221417,16.85178649,-22.6221417,-8.739567884,-16.1914591,3.827354672,44.54392843,0.651755227,36.63347404,5.677738903,18.62127851,-18.53698015,16.1914591,-3.827354672,-44.54392843,2.348244773,NA,4.172645328,-12.6221417,-21.85178649,19.90228664,-1.666519603,11.88274397,18.66678432,19.90228664,-17.77767974,NA,13.82735467,NA,21.85178649
-30.74684596,18.99468797,-30.74684596,-15.85874741,-14.28728727,-7.311187567,36.70663961,6.243971574,24.78898385,-1.553459914,10.08397044,-14.66775057,14.28728727,7.311187567,-36.70663961,-3.243971574,NA,15.31118757,-20.74684596,-23.99468797,13.40252323,-6.488047933,4.083027878,14.80956165,13.40252323,-20.99203196,NA,2.688812433,NA,23.99468797
